CITY,LATITUDE,LONGITUDE,perc_delay
Iron Mountain/Kingsford,45.81835,-88.11454,0.18852459
Islip,40.79524,-73.10021,0.421882353
Ithaca,42.49103,-76.45844,0.419354839
Jackson,32.31117,-90.07589,0.569858259
Jacksonville,30.49406,-81.68786,0.428202102
Jamestown,46.92972,-98.6782,0.366887417
Joplin,37.15181,-94.49827,0.403125
Juneau,58.35496,-134.57628,0.374195146
Kahului,20.89865,-156.43046,0.393401881
Kailua/Kona,19.73877,-156.04563,0.35259072
Kalamazoo,42.23488,-85.55206,0.294893861
Kalispell,48.3114,-114.25507,0.3555333
Kansas City,39.29761,-94.71391,0.389056396
Ketchikan,55.35557,-131.71374,0.405759162
Key West,24.55611,-81.75956,0.310061602
Killeen,31.0649,-97.8278,0.363870968
King Salmon,58.6768,-156.64922,0.412698413
Knoxville,35.81249,-83.99286,0.450325251
Kodiak,57.74997,-152.49386,0.297482838
Kotzebue,66.88468,-162.59855,0.385579937
La Crosse,43.87938,-91.25654,0.301136364
Lafayette,30.20528,-91.98766,0.38433951
Lake Charles,30.1261,-93.2234,0.322437673
Lansing,42.7787,-84.58736,0.341722595
Laramie,41.31205,-105.67499,0.240072202
Laredo,27.54374,-99.46154,0.359418932
Las Vegas,36.08036,-115.15233,0.367298901
Latrobe,40.27594,-79.4048,0.425020048
Lawton,34.56771,-98.41664,0.378836834
Lewiston,46.3745,-117.01539,0.187713311
Lexington,38.03697,-84.60539,0.349033816
Lihue,21.97598,-159.33896,0.362935465
Lincoln,40.85097,-96.75925,0.427403659
Little Rock,34.7294,-92.22425,0.406090373
Long Beach,33.81772,-118.15161,0.352237432
Longview,32.38486,-94.71171,0.371753247
Los Angeles,33.94254,-118.40807,0.42670296
Louisville,38.17439,-85.736,0.380259062
Lubbock,33.66364,-101.82278,0.438257746
Madison,43.13986,-89.33751,0.34352092
Mammoth Lakes,37.62405,-118.83777,0.392857143
Manchester,42.93452,-71.43706,0.403096985
Manhattan,39.14097,-96.67083,0.360101976
Marquette,46.35364,-87.39536,0.402027027
Marthas Vineyard,41.39303,-70.61433,0.287804878
McAllen,26.17583,-98.23861,0.377926421
Medford,42.37423,-122.8735,0.364497529
Melbourne,28.10275,-80.64581,0.322532027
Memphis,35.04242,-89.97667,0.382928685
Meridian,32.33313,-88.75121,0.37849944
Miami,25.79325,-80.29056,0.395160228
Midland,31.94253,-102.20191,0.425669183
Milwaukee,42.94722,-87.89658,0.353885106
Minneapolis,44.88055,-93.21692,0.357223832
Minot,48.25938,-101.28033,0.396247241
Missoula,46.91631,-114.09056,0.309188138
Moab,38.75496,-109.75484,0.131707317
Mobile,30.69142,-88.24283,0.42601262
Moline,41.44853,-90.50754,0.417906336
Monroe,32.51087,-92.03769,0.372052705
Monterey,36.58698,-121.84295,0.381831086
Montgomery,32.30064,-86.39398,0.40948414
Montrose,38.50887,-107.89383,0.464615385
Mosinee,44.77762,-89.66678,0.403676471
Muskegon,43.16949,-86.23822,0.340356564
Myrtle Beach,33.67975,-78.92833,0.404907975
Nantucket,41.25305,-70.06018,0.31211499
Nashville,36.12448,-86.67818,0.365874126
New Bern,35.07297,-77.04294,0.45035461
New Orleans,29.99339,-90.25803,0.358656506
New York,40.63975,-73.77893,0.809492614
New York,40.77724,-73.87261,0.784315592
Newark,40.6925,-74.16866,0.379911019
Newburgh,41.50409,-74.10484,0.4
Newport News,37.1319,-76.49299,0.414653784
Niagara Falls,43.10726,-78.94538,0.460063898
Nome,64.5122,-165.44525,0.461661342
Norfolk,36.89461,-76.20122,0.394142168
North Bend,43.41714,-124.24603,0.503759398
Oakland,37.72129,-122.22072,0.386004894
Oklahoma City,35.39309,-97.60073,0.411430016
Omaha,41.30252,-95.89417,0.381140085
Ontario,34.056,-117.60119,0.407222285
Orlando,28.42889,-81.31603,0.380342505
Paducah,37.06083,-88.77375,0.378205128
Pago Pago,14.33102,-170.71053,0.38317757
Palm Springs,33.82922,-116.50625,0.388452033
Pasco,46.26468,-119.11903,0.366819508
Pellston,45.57093,-84.79672,0.339261286
Pensacola,30.47331,-87.18744,0.387554585
Peoria,40.66424,-89.69331,0.359031326
Petersburg,56.80165,-132.94528,0.424196018
Philadelphia,39.87195,-75.24114,0.380637281
Phoenix,33.43417,-112.00806,0.375703339
Pittsburgh,40.49147,-80.23287,0.364038041
Pocatello,42.91131,-112.59586,0.333846154
Ponce,18.0083,-66.56301,0.493894166
Portland,45.58872,-122.5975,0.370373536
Providence,41.724,-71.42822,0.394756346
Pueblo,38.28909,-104.49657,0.254901961
Raleigh,35.87764,-78.78747,0.382990319
Rapid City,44.04532,-103.05737,0.384926814
Redding,40.50898,-122.2934,0.400849858
Redmond,44.25407,-121.14996,0.330648982
Reno,39.49858,-119.76806,0.382305006
Rhinelander,45.63119,-89.46745,0.273987207
Richmond,37.50517,-77.31967,0.393880427
Roanoke,37.32547,-79.97543,0.400635209
Rochester,43.11887,-77.67238,0.444856986
Rock Springs,41.59422,-109.06519,0.245112782
Roswell,33.30156,-104.53056,0.352620087
Sacramento,38.69542,-121.59077,0.397150997
Saginaw,43.53291,-84.07965,0.371771772
Salt Lake City,40.78839,-111.97777,0.300361445
San Angelo,31.35775,-100.49631,0.350933677
San Antonio,29.53369,-98.46978,0.40789027
San Diego,32.73356,-117.18966,0.387176379
San Francisco,37.619,-122.37484,0.384061509
San Jose,37.36186,-121.92901,0.384317778
San Juan,18.43942,-66.00183,0.423610259
San Luis Obispo,35.23706,-120.64239,0.344861338
Santa Ana,33.67566,-117.86822,0.358658062
Santa Barbara,34.42621,-119.84037,0.355133853
Santa Fe,35.61678,-106.08814,0.377593361
Santa Maria,34.89925,-120.45758,0.282208589
Sarasota,27.39533,-82.55411,0.330035971
Sault Ste. Marie,46.25075,-84.47239,0.354026846
Savannah,32.12758,-81.20214,0.374086109
Seattle,47.44898,-122.30931,0.366941339
Shreveport,32.44663,-93.8256,0.396862877
Sioux City,42.4026,-96.38437,0.326565144
Sioux Falls,43.58135,-96.7417,0.444980695
Sitka,57.04714,-135.3616,0.358490566
South Bend,41.70895,-86.31847,0.376841621
Spokane,47.61986,-117.53384,0.36853243
Springfield,37.24433,-93.38686,0.518438895
St Cloud,45.54532,-94.05834,0.623376623
St George,37.09058,-113.59306,0.467569092
St Louis,38.74769,-90.35999,0.363213969
State College,40.85121,-77.8463,0.455164586
Syracuse,43.11119,-76.10631,0.384474886
Tallahassee,30.39653,-84.35033,0.353763099
Tampa,27.97547,-82.53325,0.365486011
Texarkana,33.45371,-93.99102,0.384699454
Toledo,41.58681,-83.80783,0.269700333
Traverse City,44.74144,-85.58224,0.318829707
Trenton,40.27669,-74.81347,0.484969214
Tucson,32.11608,-110.94103,0.408063653
Tulsa,36.19837,-95.88824,0.407331976
Twin Falls,42.4818,-114.48774,0.418114144
Tyler,32.35414,-95.40239,0.400181901
Valdosta,30.7825,-83.27672,0.418023887
Valparaiso,30.48325,-86.5254,0.380139152
Vernal,40.4409,-109.50992,0.096446701
Waco,31.61129,-97.23052,0.419208306
Waterloo,42.55708,-92.40034,0.360683761
West Palm Beach,26.68316,-80.09559,0.4052058
West Yellowstone,44.6884,-111.11764,0.574879227
White Plains,41.06696,-73.70757,0.409613229
Wichita,37.64996,-97.43305,0.409867173
Wichita Falls,33.9888,-98.49189,0.352136752
Wilkes-Barre/Scranton,41.33815,-75.72427,0.45509434
Williston,48.17794,-103.64235,0.335334134
Wilmington,34.27061,-77.90256,0.373362445
Windsor Locks,41.93887,-72.68323,0.391816996
Worcester,42.26734,-71.87571,0.286163522
Wrangell,56.48433,-132.36982,0.397239264
Yakutat,59.50336,-139.66023,0.343558282
Yuma,32.65658,-114.60597,0.364762931
